patient_id,average_generation
CT-073,23.65
CT-111,33.75
CT-056,40.85
CT-083,75.05
CT-154,78.85
CT-102,79.25
CT-155,80.8
CT-131,81.05
CT-174,81.3
CT-177,83.2
CT-115,84.45
CT-151,86.5
CT-109,89.05
CT-175,90.75
CT-054,92.35
CT-133,92.85
CT-120,92.9
CT-112,94.15
CT-139,94.6
CT-067,94.85
CT-053,95.05
CT-176,96.1
CT-169,97.3
CT-140,100.2
CT-104,100.4
CT-150,101.6
CT-126,101.85
CT-165,106.4
CT-096,106.55
CT-012,106.6
CT-090,107.0
CT-164,108.55
CT-009,108.7
CT-142,108.75
CT-138,109.5
CT-107,111.4
CT-147,112.35
CT-146,113.0
CT-159,113.35
CT-128,114.2
CT-117,115.35
CT-136,116.0
CT-052,116.2
CT-119,117.15
CT-042,117.85
CT-125,120.55
CT-167,121.15
CT-023,121.8
CT-041,121.85
CT-137,122.0
CT-121,122.55
CT-163,123.35
CT-143,123.35
CT-076,123.65
CT-100,125.3
CT-124,125.85
CT-134,126.45
CT-084,126.75
CT-065,127.9
CT-106,128.3
CT-015,128.6
CT-098,129.75
CT-101,129.8
CT-127,130.95
CT-011,131.05
CT-099,133.75
CT-091,134.5
CT-108,134.7
CT-069,135.55
CT-153,136.25
CT-080,136.25
CT-156,136.6
CT-129,136.75
CT-160,137.1
CT-055,138.7
CT-024,138.75
CT-087,138.85
CT-016,139.3
CT-178,139.35
CT-097,139.75
CT-025,140.35
CT-184,140.4
CT-105,141.05
CT-059,141.55
CT-074,142.3
CT-179,142.8
CT-029,143.65
CT-123,144.2
CT-075,144.45
CT-071,145.25
CT-047,146.6
CT-049,147.2
CT-158,148.4
CT-062,152.25
CT-172,152.6
CT-118,154.65
CT-051,155.35
CT-060,158.75
CT-086,159.45
CT-144,169.6
