patient_id,average_generation
CT-073,21.75
CT-111,36.15
CT-071,63.65
CT-102,69.4
CT-090,70.25
CT-175,72.25
CT-154,74.6
CT-119,75.35
CT-165,75.45
CT-115,77.7
CT-143,78.75
CT-159,82.35
CT-140,82.4
CT-067,83.1
CT-174,84.05
CT-169,85.15
CT-131,85.45
CT-142,85.7
CT-083,86.2
CT-054,86.35
CT-117,87.5
CT-062,87.7
CT-177,88.45
CT-151,89.05
CT-053,89.4
CT-176,89.7
CT-155,89.85
CT-041,90.25
CT-060,92.1
CT-126,93.8
CT-167,93.8
CT-133,95.45
CT-153,96.5
CT-147,97.15
CT-023,98.85
CT-144,99.15
CT-096,99.45
CT-150,102.15
CT-080,102.15
CT-128,102.85
CT-108,102.9
CT-138,103.75
CT-098,104.15
CT-136,106.2
CT-047,112.05
CT-164,112.3
CT-120,112.8
CT-109,112.9
CT-009,113.8
CT-121,114.1
CT-049,114.2
CT-172,115.2
CT-129,116.6
CT-084,116.75
CT-012,118.85
CT-107,119.2
CT-055,119.5
CT-074,120.2
CT-178,120.2
CT-134,121.2
CT-069,122.3
CT-101,122.5
CT-127,123.3
CT-125,123.35
CT-146,123.9
CT-059,124.9
CT-011,126.7
CT-139,128.35
CT-015,129.1
CT-042,129.15
CT-124,129.5
CT-163,129.9
CT-105,130.6
CT-106,130.7
CT-076,131.1
CT-112,131.25
CT-016,131.9
CT-087,132.65
CT-052,133.3
CT-179,134.0
CT-104,134.55
CT-075,135.95
CT-158,138.1
CT-091,139.5
CT-156,140.3
CT-029,140.35
CT-056,140.65
CT-160,140.85
CT-118,141.35
CT-051,141.65
CT-123,142.9
CT-097,143.8
CT-100,144.35
CT-184,144.9
CT-099,145.05
CT-024,146.8
CT-065,150.05
CT-025,150.9
CT-137,152.05
CT-086,163.6
