,angle,distance,correlation,roi_condition,patient_id
0,0.0,1,0.6435443037974683,cancer,CT-009
1,0.0,2,0.026377634473293374,cancer,CT-009
2,0.0,3,-0.21018131446805352,cancer,CT-009
3,0.0,4,-0.02616877389003234,cancer,CT-009
4,0.0,5,0.16856201975850707,cancer,CT-009
5,0.7853981633974483,1,0.35099883543850224,cancer,CT-009
6,0.7853981633974483,2,0.35099883543850224,cancer,CT-009
7,0.7853981633974483,3,-0.17242632583214706,cancer,CT-009
8,0.7853981633974483,4,0.02584814216478193,cancer,CT-009
9,0.7853981633974483,5,0.19348028038172446,cancer,CT-009
10,1.5707963267948966,1,0.7170320564420664,cancer,CT-009
11,1.5707963267948966,2,0.35889964217233095,cancer,CT-009
12,1.5707963267948966,3,0.13150840711558767,cancer,CT-009
13,1.5707963267948966,4,0.053009780718013086,cancer,CT-009
14,1.5707963267948966,5,0.11063987700789907,cancer,CT-009
15,2.356194490192345,1,0.5023778095220874,cancer,CT-009
16,2.356194490192345,2,0.5023778095220874,cancer,CT-009
17,2.356194490192345,3,-0.09388952672534759,cancer,CT-009
18,2.356194490192345,4,-0.3913043478260869,cancer,CT-009
19,2.356194490192345,5,-0.5433610975012249,cancer,CT-009
0,0.0,1,0.7067794260363234,healthy,CT-009
1,0.0,2,0.3539998631355643,healthy,CT-009
2,0.0,3,0.10659834648392066,healthy,CT-009
3,0.0,4,-0.06372303060712493,healthy,CT-009
4,0.0,5,-0.0436678955293629,healthy,CT-009
5,0.7853981633974483,1,0.10293159609120522,healthy,CT-009
6,0.7853981633974483,2,0.10293159609120522,healthy,CT-009
7,0.7853981633974483,3,-0.25521750062861454,healthy,CT-009
8,0.7853981633974483,4,-0.23968042609853527,healthy,CT-009
9,0.7853981633974483,5,0.027506654835847414,healthy,CT-009
10,1.5707963267948966,1,0.1433360951078055,healthy,CT-009
11,1.5707963267948966,2,-0.3097320366613028,healthy,CT-009
12,1.5707963267948966,3,-0.11853515680532262,healthy,CT-009
13,1.5707963267948966,4,-0.010917607948320791,healthy,CT-009
14,1.5707963267948966,5,-0.15790020250272602,healthy,CT-009
15,2.356194490192345,1,0.13378437363596682,healthy,CT-009
16,2.356194490192345,2,0.13378437363596682,healthy,CT-009
17,2.356194490192345,3,0.00031601282109159853,healthy,CT-009
18,2.356194490192345,4,0.11116869655351129,healthy,CT-009
19,2.356194490192345,5,-0.14634146341463414,healthy,CT-009
0,0.0,1,0.6323384067997628,healthy,CT-009
1,0.0,2,0.32090144856102304,healthy,CT-009
2,0.0,3,0.08477331354464822,healthy,CT-009
3,0.0,4,0.11633109619686803,healthy,CT-009
4,0.0,5,0.1681009753298909,healthy,CT-009
5,0.7853981633974483,1,0.18209357118815214,healthy,CT-009
6,0.7853981633974483,2,0.18209357118815214,healthy,CT-009
7,0.7853981633974483,3,0.21494451987452595,healthy,CT-009
8,0.7853981633974483,4,-0.18336665333866453,healthy,CT-009
9,0.7853981633974483,5,-0.2079308591764108,healthy,CT-009
10,1.5707963267948966,1,0.3151525565183241,healthy,CT-009
11,1.5707963267948966,2,0.1257367387033399,healthy,CT-009
12,1.5707963267948966,3,0.09842582286532035,healthy,CT-009
13,1.5707963267948966,4,-0.12631744533585026,healthy,CT-009
14,1.5707963267948966,5,-0.09007458405048768,healthy,CT-009
15,2.356194490192345,1,0.3785484118459414,healthy,CT-009
16,2.356194490192345,2,0.3785484118459414,healthy,CT-009
17,2.356194490192345,3,0.0975747320924986,healthy,CT-009
18,2.356194490192345,4,0.017912096583287313,healthy,CT-009
19,2.356194490192345,5,0.01369863013698628,healthy,CT-009
0,0.0,1,0.39545922708342673,healthy,CT-009
1,0.0,2,-0.2098991750687443,healthy,CT-009
2,0.0,3,-0.31289074129205124,healthy,CT-009
3,0.0,4,-0.2298325722983257,healthy,CT-009
4,0.0,5,-0.09433439534561569,healthy,CT-009
5,0.7853981633974483,1,-0.15361139369277715,healthy,CT-009
6,0.7853981633974483,2,-0.15361139369277715,healthy,CT-009
7,0.7853981633974483,3,0.021032504780114723,healthy,CT-009
8,0.7853981633974483,4,-0.0540872771972956,healthy,CT-009
9,0.7853981633974483,5,0.22629582806573953,healthy,CT-009
10,1.5707963267948966,1,0.14811309107370674,healthy,CT-009
11,1.5707963267948966,2,-0.1701170117011701,healthy,CT-009
12,1.5707963267948966,3,-0.11232876712328765,healthy,CT-009
13,1.5707963267948966,4,-0.016454094051212155,healthy,CT-009
14,1.5707963267948966,5,-0.06662972710901785,healthy,CT-009
15,2.356194490192345,1,0.1586443218932377,healthy,CT-009
16,2.356194490192345,2,0.1586443218932377,healthy,CT-009
17,2.356194490192345,3,0.07913669064748201,healthy,CT-009
18,2.356194490192345,4,-0.04430734716769492,healthy,CT-009
19,2.356194490192345,5,-0.17421692984726903,healthy,CT-009
0,0.0,1,0.5950977350294757,healthy,CT-009
1,0.0,2,0.1808738008847358,healthy,CT-009
2,0.0,3,0.2652329749103942,healthy,CT-009
3,0.0,4,0.26430517711171664,healthy,CT-009
4,0.0,5,0.07811741872877247,healthy,CT-009
5,0.7853981633974483,1,0.08829807878905492,healthy,CT-009
6,0.7853981633974483,2,0.08829807878905492,healthy,CT-009
7,0.7853981633974483,3,-0.004926108374384237,healthy,CT-009
8,0.7853981633974483,4,-0.2243623112961999,healthy,CT-009
9,0.7853981633974483,5,-0.2735643324448752,healthy,CT-009
10,1.5707963267948966,1,0.1707554590059553,healthy,CT-009
11,1.5707963267948966,2,-0.27427693167528294,healthy,CT-009
12,1.5707963267948966,3,-0.12822943825551078,healthy,CT-009
13,1.5707963267948966,4,-0.251604621309371,healthy,CT-009
14,1.5707963267948966,5,-0.09170305676855894,healthy,CT-009
15,2.356194490192345,1,0.11381957773512474,healthy,CT-009
16,2.356194490192345,2,0.11381957773512474,healthy,CT-009
17,2.356194490192345,3,-0.1275820170109356,healthy,CT-009
18,2.356194490192345,4,-0.23231296837292015,healthy,CT-009
19,2.356194490192345,5,-0.19795221843003416,healthy,CT-009
0,0.0,1,0.625725338491296,healthy,CT-009
1,0.0,2,0.18316523471547758,healthy,CT-009
2,0.0,3,-0.06255212677231027,healthy,CT-009
3,0.0,4,-0.04432021209152212,healthy,CT-009
4,0.0,5,-0.07440019387672674,healthy,CT-009
5,0.7853981633974483,1,0.0065412919051512485,healthy,CT-009
6,0.7853981633974483,2,0.0065412919051512485,healthy,CT-009
7,0.7853981633974483,3,-0.013291634089132134,healthy,CT-009
8,0.7853981633974483,4,-0.2003656307129799,healthy,CT-009
9,0.7853981633974483,5,-0.06523201075991933,healthy,CT-009
10,1.5707963267948966,1,0.3221830985915493,healthy,CT-009
11,1.5707963267948966,2,-0.16058029014507252,healthy,CT-009
12,1.5707963267948966,3,0.021141036779611908,healthy,CT-009
13,1.5707963267948966,4,-0.15384615384615388,healthy,CT-009
14,1.5707963267948966,5,-0.6560303740205186,healthy,CT-009
15,2.356194490192345,1,0.488421052631579,healthy,CT-009
16,2.356194490192345,2,0.488421052631579,healthy,CT-009
17,2.356194490192345,3,0.04569363765265517,healthy,CT-009
18,2.356194490192345,4,-0.11740190296453563,healthy,CT-009
19,2.356194490192345,5,-0.16462585034013602,healthy,CT-009
0,0.0,1,0.5305514157973175,healthy,CT-009
1,0.0,2,0.07393577296489921,healthy,CT-009
2,0.0,3,0.010060362173038217,healthy,CT-009
3,0.0,4,0.07611715215493287,healthy,CT-009
4,0.0,5,-0.03838525259596315,healthy,CT-009
5,0.7853981633974483,1,0.022190662169359093,healthy,CT-009
6,0.7853981633974483,2,0.022190662169359093,healthy,CT-009
7,0.7853981633974483,3,0.02658071992467589,healthy,CT-009
8,0.7853981633974483,4,-0.10951687030601952,healthy,CT-009
9,0.7853981633974483,5,0.2616190268383155,healthy,CT-009
10,1.5707963267948966,1,0.1760299625468165,healthy,CT-009
11,1.5707963267948966,2,-0.09290593330059378,healthy,CT-009
12,1.5707963267948966,3,0.06880554468727293,healthy,CT-009
13,1.5707963267948966,4,-0.15247241844590842,healthy,CT-009
14,1.5707963267948966,5,-0.27173025317932564,healthy,CT-009
15,2.356194490192345,1,0.21428571428571425,healthy,CT-009
