,angle,distance,energy,roi_condition,patient_id
0,0.0,1,0.2027016599906448,cancer,CT-009
1,0.0,2,0.18981366258891105,cancer,CT-009
2,0.0,3,0.18379104853036304,cancer,CT-009
3,0.0,4,0.18724777273725246,cancer,CT-009
4,0.0,5,0.1767766952966369,cancer,CT-009
5,0.7853981633974483,1,0.19452968121857395,cancer,CT-009
6,0.7853981633974483,2,0.19452968121857395,cancer,CT-009
7,0.7853981633974483,3,0.2045912005690145,cancer,CT-009
8,0.7853981633974483,4,0.2282177322938192,cancer,CT-009
9,0.7853981633974483,5,0.20784609690826522,cancer,CT-009
10,1.5707963267948966,1,0.2090266242123946,cancer,CT-009
11,1.5707963267948966,2,0.19505088456261127,cancer,CT-009
12,1.5707963267948966,3,0.17173367584251303,cancer,CT-009
13,1.5707963267948966,4,0.1742709682373125,cancer,CT-009
14,1.5707963267948966,5,0.1863389981249825,cancer,CT-009
15,2.356194490192345,1,0.20222154852413726,cancer,CT-009
16,2.356194490192345,2,0.20222154852413726,cancer,CT-009
17,2.356194490192345,3,0.19839002137983244,cancer,CT-009
18,2.356194490192345,4,0.20317692831010825,cancer,CT-009
19,2.356194490192345,5,0.20976176963403026,cancer,CT-009
0,0.0,1,0.26546551334497337,healthy,CT-009
1,0.0,2,0.23570226039551587,healthy,CT-009
2,0.0,3,0.2391390808713624,healthy,CT-009
3,0.0,4,0.23593232610221093,healthy,CT-009
4,0.0,5,0.2185018433687816,healthy,CT-009
5,0.7853981633974483,1,0.23313591140399717,healthy,CT-009
6,0.7853981633974483,2,0.23313591140399717,healthy,CT-009
7,0.7853981633974483,3,0.22308858894734732,healthy,CT-009
8,0.7853981633974483,4,0.25768197453450253,healthy,CT-009
9,0.7853981633974483,5,0.2460627460628691,healthy,CT-009
10,1.5707963267948966,1,0.24646738824718326,healthy,CT-009
11,1.5707963267948966,2,0.22486492859294696,healthy,CT-009
12,1.5707963267948966,3,0.2270737765573119,healthy,CT-009
13,1.5707963267948966,4,0.24407030237208294,healthy,CT-009
14,1.5707963267948966,5,0.22243913025065234,healthy,CT-009
15,2.356194490192345,1,0.26095330311315146,healthy,CT-009
16,2.356194490192345,2,0.26095330311315146,healthy,CT-009
17,2.356194490192345,3,0.2515384760593727,healthy,CT-009
18,2.356194490192345,4,0.2481934729198171,healthy,CT-009
19,2.356194490192345,5,0.23799290955824715,healthy,CT-009
0,0.0,1,0.33071891388307384,healthy,CT-009
1,0.0,2,0.29901458530015257,healthy,CT-009
2,0.0,3,0.2952752952754429,healthy,CT-009
3,0.0,4,0.31792171795899693,healthy,CT-009
4,0.0,5,0.3214010129279482,healthy,CT-009
5,0.7853981633974483,1,0.30849421342512195,healthy,CT-009
6,0.7853981633974483,2,0.30849421342512195,healthy,CT-009
7,0.7853981633974483,3,0.29462782549439487,healthy,CT-009
8,0.7853981633974483,4,0.25455844122715704,healthy,CT-009
9,0.7853981633974483,5,0.2651650429449553,healthy,CT-009
10,1.5707963267948966,1,0.31491414443836424,healthy,CT-009
11,1.5707963267948966,2,0.30865692479227197,healthy,CT-009
12,1.5707963267948966,3,0.3010398644698074,healthy,CT-009
13,1.5707963267948966,4,0.2821167200823092,healthy,CT-009
14,1.5707963267948966,5,0.26020824993326663,healthy,CT-009
15,2.356194490192345,1,0.34452944930885987,healthy,CT-009
16,2.356194490192345,2,0.34452944930885987,healthy,CT-009
17,2.356194490192345,3,0.34246744460938755,healthy,CT-009
18,2.356194490192345,4,0.3464101615137755,healthy,CT-009
19,2.356194490192345,5,0.385275875185561,healthy,CT-009
0,0.0,1,0.30330870984755415,healthy,CT-009
1,0.0,2,0.26269833776913526,healthy,CT-009
2,0.0,3,0.2481179155159901,healthy,CT-009
3,0.0,4,0.2642427269576213,healthy,CT-009
4,0.0,5,0.2763853991962833,healthy,CT-009
5,0.7853981633974483,1,0.27380424214283144,healthy,CT-009
6,0.7853981633974483,2,0.27380424214283144,healthy,CT-009
7,0.7853981633974483,3,0.2429563289518875,healthy,CT-009
8,0.7853981633974483,4,0.295296461204668,healthy,CT-009
9,0.7853981633974483,5,0.33946189035000673,healthy,CT-009
10,1.5707963267948966,1,0.26904498523784576,healthy,CT-009
11,1.5707963267948966,2,0.25259074277046134,healthy,CT-009
12,1.5707963267948966,3,0.258602010819715,healthy,CT-009
13,1.5707963267948966,4,0.28895690638917076,healthy,CT-009
14,1.5707963267948966,5,0.32004773949452536,healthy,CT-009
15,2.356194490192345,1,0.2688150994350917,healthy,CT-009
16,2.356194490192345,2,0.2688150994350917,healthy,CT-009
17,2.356194490192345,3,0.2893425924444397,healthy,CT-009
18,2.356194490192345,4,0.29120439557122074,healthy,CT-009
19,2.356194490192345,5,0.29646353064078557,healthy,CT-009
0,0.0,1,0.3156726701725659,healthy,CT-009
1,0.0,2,0.3125,healthy,CT-009
2,0.0,3,0.2761340254296815,healthy,CT-009
3,0.0,4,0.2829807855667943,healthy,CT-009
4,0.0,5,0.2960973000739978,healthy,CT-009
5,0.7853981633974483,1,0.30201323646834166,healthy,CT-009
6,0.7853981633974483,2,0.30201323646834166,healthy,CT-009
7,0.7853981633974483,3,0.3042903097250923,healthy,CT-009
8,0.7853981633974483,4,0.35440090293338705,healthy,CT-009
9,0.7853981633974483,5,0.3644344934278313,healthy,CT-009
10,1.5707963267948966,1,0.293965672020613,healthy,CT-009
11,1.5707963267948966,2,0.28374663483075496,healthy,CT-009
12,1.5707963267948966,3,0.3010398644698074,healthy,CT-009
13,1.5707963267948966,4,0.32021721143623744,healthy,CT-009
14,1.5707963267948966,5,0.2810570325673342,healthy,CT-009
15,2.356194490192345,1,0.3068019669055696,healthy,CT-009
16,2.356194490192345,2,0.3068019669055696,healthy,CT-009
17,2.356194490192345,3,0.2939723678960656,healthy,CT-009
18,2.356194490192345,4,0.2842534080710379,healthy,CT-009
19,2.356194490192345,5,0.30618621784789724,healthy,CT-009
0,0.0,1,0.2966651379613598,healthy,CT-009
1,0.0,2,0.2822128580030014,healthy,CT-009
2,0.0,3,0.27726341266023546,healthy,CT-009
3,0.0,4,0.25958199571618984,healthy,CT-009
4,0.0,5,0.2795084971874737,healthy,CT-009
5,0.7853981633974483,1,0.2695886696657736,healthy,CT-009
6,0.7853981633974483,2,0.2695886696657736,healthy,CT-009
7,0.7853981633974483,3,0.27708246310083334,healthy,CT-009
8,0.7853981633974483,4,0.2966479394838265,healthy,CT-009
9,0.7853981633974483,5,0.29973947020704494,healthy,CT-009
10,1.5707963267948966,1,0.25846633618089515,healthy,CT-009
11,1.5707963267948966,2,0.2618709393745111,healthy,CT-009
12,1.5707963267948966,3,0.27443123000125186,healthy,CT-009
13,1.5707963267948966,4,0.275106513463422,healthy,CT-009
14,1.5707963267948966,5,0.32004773949452536,healthy,CT-009
15,2.356194490192345,1,0.2629407903413291,healthy,CT-009
16,2.356194490192345,2,0.2629407903413291,healthy,CT-009
17,2.356194490192345,3,0.25909386258580047,healthy,CT-009
18,2.356194490192345,4,0.27712812921102037,healthy,CT-009
19,2.356194490192345,5,0.29646353064078557,healthy,CT-009
0,0.0,1,0.2876607802426252,healthy,CT-009
1,0.0,2,0.27282918445226656,healthy,CT-009
2,0.0,3,0.3423265984407289,healthy,CT-009
3,0.0,4,0.2768757054167086,healthy,CT-009
4,0.0,5,0.24650332429581737,healthy,CT-009
5,0.7853981633974483,1,0.2864422213799632,healthy,CT-009
6,0.7853981633974483,2,0.2864422213799632,healthy,CT-009
7,0.7853981633974483,3,0.2893425924444397,healthy,CT-009
8,0.7853981633974483,4,0.3006659275674582,healthy,CT-009
9,0.7853981633974483,5,0.29973947020704494,healthy,CT-009
10,1.5707963267948966,1,0.2843157737159046,healthy,CT-009
11,1.5707963267948966,2,0.2748105407973525,healthy,CT-009
12,1.5707963267948966,3,0.2947456530637899,healthy,CT-009
13,1.5707963267948966,4,0.28384222069663984,healthy,CT-009
14,1.5707963267948966,5,0.2667968432263687,healthy,CT-009
15,2.356194490192345,1,0.2864422213799632,healthy,CT-009
16,2.356194490192345,2,0.2864422213799632,healthy,CT-009
17,2.356194490192345,3,0.2919971672448422,healthy,CT-009
18,2.356194490192345,4,0.32863353450309973,healthy,CT-009
19,2.356194490192345,5,0.33071891388307384,healthy,CT-009
0,0.0,1,0.2961272134245893,healthy,CT-009
1,0.0,2,0.26679684322636876,healthy,CT-009
2,0.0,3,0.26457513110645914,healthy,CT-009
3,0.0,4,0.29973947020704494,healthy,CT-009
4,0.0,5,0.3510895738823483,healthy,CT-009
5,0.7853981633974483,1,0.27418426209274294,healthy,CT-009
6,0.7853981633974483,2,0.27418426209274294,healthy,CT-009
7,0.7853981633974483,3,0.2770824631008334,healthy,CT-009
8,0.7853981633974483,4,0.29393876913398137,healthy,CT-009
9,0.7853981633974483,5,0.29973947020704494,healthy,CT-009
10,1.5707963267948966,1,0.2693411273035421,healthy,CT-009
11,1.5707963267948966,2,0.28259708263021954,healthy,CT-009
12,1.5707963267948966,3,0.28284271247461906,healthy,CT-009
13,1.5707963267948966,4,0.25958199571618984,healthy,CT-009
14,1.5707963267948966,5,0.3076004804215292,healthy,CT-009
15,2.356194490192345,1,0.2516087348150603,healthy,CT-009
16,2.356194490192345,2,0.2516087348150603,healthy,CT-009
17,2.356194490192345,3,0.25382870670134816,healthy,CT-009
18,2.356194490192345,4,0.25612496949731395,healthy,CT-009
19,2.356194490192345,5,0.3125,healthy,CT-009
0,0.0,1,0.230073191548663,healthy,CT-009
1,0.0,2,0.21347814095749168,healthy,CT-009
2,0.0,3,0.2193741096848031,healthy,CT-009
