patient_id,average_generation
CT-073,10.95
CT-133,41.1
CT-155,42.15
CT-158,43.45
CT-056,45.45
CT-138,52.85
CT-129,53.25
CT-140,54.4
CT-154,56.65
CT-174,56.85
CT-054,57.2
CT-090,57.95
CT-120,60.4
CT-076,61.75
CT-176,62.05
CT-134,64.25
CT-109,64.65
CT-142,71.2
CT-151,71.3
CT-175,72.3
CT-164,73.7
CT-041,74.15
CT-115,74.25
CT-065,76.6
CT-053,77.8
CT-126,78.0
CT-012,80.6
CT-055,81.55
CT-128,84.1
CT-102,84.5
CT-178,84.5
CT-101,85.25
CT-150,86.5
CT-091,87.85
CT-059,89.35
CT-023,92.8
CT-067,93.1
CT-071,95.15
CT-096,95.9
CT-144,96.1
CT-062,96.2
CT-075,97.25
CT-147,98.3
CT-016,100.05
CT-083,100.15
CT-024,102.5
CT-097,102.55
CT-047,103.1
CT-074,103.15
CT-112,103.25
CT-160,104.0
CT-118,104.75
CT-172,107.05
CT-117,108.25
CT-156,108.9
CT-049,109.9
CT-123,111.5
CT-060,112.75
CT-105,113.6
CT-124,114.4
CT-107,116.65
CT-119,116.9
CT-087,117.35
CT-184,117.95
CT-177,118.25
CT-069,119.5
CT-146,120.2
CT-165,120.7
CT-025,121.15
CT-153,122.25
CT-100,124.5
CT-139,125.2
CT-169,125.8
CT-106,126.8
CT-042,127.0
CT-179,128.35
CT-108,128.45
CT-051,130.5
CT-137,132.35
CT-167,134.05
CT-125,134.35
CT-143,137.0
CT-127,138.65
CT-099,139.8
CT-011,141.8
CT-029,145.5
CT-009,145.8
CT-098,147.45
CT-052,147.45
CT-086,148.2
CT-084,151.7
CT-104,152.25
CT-015,153.3
CT-159,153.75
CT-080,161.2
CT-163,163.35
CT-136,167.1
CT-131,168.6
CT-121,172.8
CT-111,184.85
