patient_id,average_generation
CT-073,14.35
CT-083,18.85
CT-090,20.35
CT-091,21.45
CT-119,28.2
CT-154,32.95
CT-076,33.9
CT-109,34.3
CT-024,38.15
CT-140,42.1
CT-134,48.75
CT-128,49.65
CT-126,49.85
CT-172,52.55
CT-174,53.9
CT-120,57.75
CT-016,60.0
CT-164,62.85
CT-179,63.25
CT-056,64.7
CT-062,66.95
CT-075,67.95
CT-074,69.9
CT-053,70.05
CT-011,71.45
CT-051,72.2
CT-138,73.95
CT-147,74.85
CT-041,75.6
CT-115,75.65
CT-117,76.0
CT-129,76.55
CT-125,77.1
CT-118,77.15
CT-049,79.45
CT-175,80.15
CT-060,80.2
CT-123,80.3
CT-055,80.45
CT-054,80.6
CT-098,81.6
CT-158,83.05
CT-069,84.8
CT-151,86.15
CT-047,86.3
CT-084,86.35
CT-142,86.35
CT-042,87.0
CT-100,88.15
CT-176,88.15
CT-177,88.25
CT-144,88.7
CT-097,89.35
CT-108,91.05
CT-153,91.1
CT-059,91.3
CT-096,92.45
CT-065,93.35
CT-143,93.7
CT-127,93.85
CT-071,94.9
CT-156,94.95
CT-015,95.25
CT-178,95.3
CT-106,95.5
CT-029,97.0
CT-169,97.0
CT-087,97.2
CT-146,97.5
CT-112,98.05
CT-184,98.55
CT-160,99.0
CT-105,99.75
CT-102,100.3
CT-150,100.5
CT-104,100.6
CT-167,102.1
CT-133,103.8
CT-052,105.25
CT-025,106.25
CT-012,108.15
CT-067,108.85
CT-136,109.1
CT-131,109.45
CT-139,110.7
CT-023,110.75
CT-099,111.45
CT-107,111.75
CT-080,112.15
CT-086,114.45
CT-121,115.05
CT-163,115.55
CT-101,115.85
CT-124,119.2
CT-137,119.25
CT-159,126.0
CT-009,134.0
CT-165,134.2
CT-155,140.25
CT-111,149.9
