patient_id,average_distance
CT-069,3.03
CT-083,3.11
CT-055,4.584999999999999
CT-076,4.585
CT-091,5.465
CT-052,5.8950000000000005
CT-042,5.925000000000001
CT-129,6.3950000000000005
CT-123,6.51
CT-124,6.815
CT-086,6.835000000000001
CT-071,6.860000000000001
CT-164,7.15
CT-054,7.380000000000001
CT-184,7.780000000000003
CT-097,7.785000000000001
CT-105,7.850000000000001
CT-096,7.87
CT-090,8.125
CT-115,8.209999999999999
CT-049,8.46
CT-060,8.470000000000002
CT-056,8.620000000000001
CT-053,8.674999999999999
CT-118,8.72
CT-087,8.794999999999998
CT-074,8.804999999999998
CT-009,8.815000000000001
CT-016,8.815000000000001
CT-104,8.82
CT-100,8.830000000000002
CT-098,8.845
CT-150,8.86
CT-107,8.864999999999998
CT-144,9.749999999999998
CT-163,9.754999999999999
CT-158,9.78
CT-015,9.815000000000001
CT-121,9.820000000000002
CT-156,9.835
CT-062,9.84
CT-065,9.959999999999999
CT-084,10.150000000000002
CT-024,10.184999999999999
CT-119,10.620000000000001
CT-108,10.669999999999998
CT-011,10.685000000000002
CT-143,10.705
CT-137,10.825000000000001
CT-176,10.845
CT-134,10.945
CT-075,11.245000000000001
CT-047,11.280000000000001
CT-126,11.415
CT-138,11.485000000000003
CT-172,11.605
CT-167,11.66
CT-125,11.680000000000001
CT-136,11.7
CT-117,11.724999999999998
CT-178,11.73
CT-023,11.75
CT-128,11.75
CT-106,11.755
CT-175,11.78
CT-160,11.795
CT-127,11.830000000000002
CT-179,11.844999999999997
CT-174,12.254999999999999
CT-041,12.36
CT-147,12.584999999999999
CT-073,12.585000000000003
CT-101,12.620000000000001
CT-059,12.645
CT-142,12.645
CT-067,12.669999999999998
CT-155,12.67
CT-177,12.675
CT-154,12.68
CT-120,12.684999999999999
CT-159,12.7
CT-133,12.7
CT-131,12.775
CT-169,12.79
CT-140,13.535
CT-139,13.65
CT-165,13.654999999999998
CT-102,13.690000000000001
CT-112,14.459999999999999
CT-080,14.559999999999999
CT-029,14.645
CT-012,15.550000000000002
CT-025,15.645000000000001
CT-099,15.645000000000001
CT-153,17.265
CT-151,17.535
CT-111,18.34
CT-051,18.369999999999997
CT-109,18.39
CT-146,18.535
