patient_id,average_generation
CT-056,35.2
CT-053,44.6
CT-054,45.95
CT-076,56.35
CT-123,65.65
CT-096,68.95
CT-109,76.4
CT-119,81.4
CT-073,84.35
CT-067,91.7
CT-083,94.4
CT-102,99.75
CT-065,105.3
CT-174,107.55
CT-175,108.85
CT-090,110.05
CT-146,112.55
CT-084,113.8
CT-025,115.9
CT-129,117.35
CT-074,117.4
CT-134,118.5
CT-111,118.55
CT-069,119.55
CT-126,120.65
CT-062,120.8
CT-147,121.0
CT-115,121.7
CT-169,122.7
CT-150,125.05
CT-107,125.9
CT-139,131.2
CT-172,131.5
CT-091,133.2
CT-176,133.3
CT-142,135.65
CT-104,136.15
CT-155,136.3
CT-051,137.5
CT-140,142.15
CT-009,143.2
CT-071,143.3
CT-041,143.6
CT-049,146.9
CT-086,147.15
CT-178,149.65
CT-165,151.55
CT-047,154.15
CT-127,155.25
CT-012,155.35
CT-080,158.2
CT-112,161.05
CT-011,162.0
CT-055,162.25
CT-131,166.75
CT-136,168.5
CT-133,168.8
CT-015,169.15
CT-151,169.8
CT-016,171.8
CT-144,172.3
CT-120,172.8
CT-154,174.05
CT-024,176.2
CT-023,176.85
CT-138,178.1
CT-163,178.4
CT-164,178.7
CT-087,181.2
CT-124,182.05
CT-128,182.45
CT-121,183.1
CT-101,183.85
CT-118,184.9
CT-117,187.0
CT-158,187.2
CT-159,187.85
CT-184,188.9
CT-105,188.95
CT-100,189.45
CT-177,189.7
CT-029,190.3
CT-179,191.25
CT-060,191.6
CT-059,191.95
CT-106,192.55
CT-125,193.85
CT-156,194.05
CT-052,195.2
CT-153,196.3
CT-137,196.35
CT-098,197.65
CT-108,197.95
CT-167,198.4
CT-042,198.6
CT-097,198.65
CT-099,199.0
CT-160,199.0
CT-075,199.0
CT-143,199.0
