patient_id,average_generation
CT-112,111.5
CT-055,120.2
CT-096,137.4
CT-054,139.25
CT-065,140.05
CT-129,153.5
CT-091,154.25
CT-076,157.35
CT-041,157.95
CT-086,158.45
CT-049,174.9
CT-042,176.05
CT-163,176.15
CT-164,176.45
CT-090,178.95
CT-184,184.85
CT-083,186.0
CT-052,186.05
CT-053,186.35
CT-071,189.35
CT-074,190.3
CT-105,190.5
CT-155,190.75
CT-176,191.55
CT-174,191.65
CT-009,191.7
CT-087,191.7
CT-134,191.75
CT-107,192.0
CT-124,193.0
CT-108,193.45
CT-097,193.75
CT-047,194.05
CT-016,194.2
CT-100,194.45
CT-118,194.5
CT-150,194.75
CT-123,194.85
CT-056,195.1
CT-098,195.35
CT-069,195.65
CT-156,195.7
CT-011,195.75
CT-062,196.0
CT-158,196.05
CT-175,196.05
CT-179,196.5
CT-117,196.55
CT-143,196.55
CT-133,196.75
CT-144,197.05
CT-137,197.1
CT-121,197.15
CT-025,197.2
CT-015,197.25
CT-075,197.25
CT-167,197.3
CT-104,197.35
CT-115,197.4
CT-136,197.75
CT-138,198.05
CT-178,198.05
CT-101,198.1
CT-059,198.1
CT-067,198.3
CT-023,198.4
CT-159,198.4
CT-024,198.5
CT-126,198.55
CT-154,198.6
CT-151,198.8
CT-153,198.8
CT-160,198.85
CT-169,198.9
CT-012,199.0
CT-029,199.0
CT-084,199.0
CT-099,199.0
CT-102,199.0
CT-106,199.0
CT-109,199.0
CT-111,199.0
CT-127,199.0
CT-051,199.0
CT-060,199.0
CT-073,199.0
CT-080,199.0
CT-119,199.0
CT-120,199.0
CT-125,199.0
CT-128,199.0
CT-131,199.0
CT-139,199.0
CT-140,199.0
CT-142,199.0
CT-146,199.0
CT-147,199.0
CT-165,199.0
CT-172,199.0
CT-177,199.0
