patient_id,average_generation
CT-178,62.8
CT-056,63.55
CT-076,65.2
CT-090,66.1
CT-154,66.9
CT-073,69.05
CT-054,73.05
CT-118,75.7
CT-053,77.6
CT-176,80.15
CT-128,83.25
CT-067,86.55
CT-129,87.35
CT-158,91.7
CT-102,93.0
CT-134,93.0
CT-140,95.0
CT-117,96.4
CT-041,97.55
CT-091,97.55
CT-059,101.05
CT-175,101.7
CT-074,102.15
CT-144,104.1
CT-127,109.15
CT-119,110.55
CT-115,111.9
CT-146,115.55
CT-101,116.5
CT-138,116.7
CT-024,117.8
CT-172,117.95
CT-109,118.15
CT-147,119.15
CT-083,119.45
CT-055,119.75
CT-164,122.5
CT-016,123.05
CT-062,123.2
CT-011,123.55
CT-112,123.55
CT-174,124.55
CT-179,127.15
CT-065,127.9
CT-126,128.7
CT-075,129.9
CT-169,130.05
CT-165,130.35
CT-139,130.6
CT-087,131.6
CT-029,132.8
CT-023,133.5
CT-177,135.05
CT-097,135.7
CT-096,136.65
CT-049,137.45
CT-047,139.55
CT-120,140.35
CT-069,141.3
CT-153,143.9
CT-151,145.2
CT-051,145.7
CT-125,146.4
CT-106,146.6
CT-105,148.3
CT-142,149.7
CT-012,152.25
CT-060,154.75
CT-042,155.55
CT-052,155.7
CT-156,155.85
CT-150,156.2
CT-123,159.05
CT-025,159.3
CT-009,160.65
CT-100,160.95
CT-071,161.45
CT-108,162.45
CT-084,164.45
CT-015,165.55
CT-143,166.7
CT-160,168.4
CT-124,168.65
CT-136,169.1
CT-167,169.1
CT-098,171.5
CT-121,172.5
CT-099,174.8
CT-163,175.7
CT-137,177.75
CT-133,178.05
CT-086,178.25
CT-107,178.9
CT-184,183.25
CT-080,184.6
CT-155,185.55
CT-104,187.15
CT-131,188.35
CT-159,190.9
CT-111,198.75
