patient_id,average_distance
CT-076,4.9425
CT-042,5.9775
CT-052,5.9875
CT-124,6.974999999999999
CT-086,7.095000000000001
CT-091,7.5375
CT-097,7.96125
CT-105,7.963749999999997
CT-184,7.96625
CT-129,8.671249999999999
CT-009,8.906249999999998
CT-074,8.958749999999998
CT-118,8.96375
CT-098,8.966249999999999
CT-055,8.966249999999999
CT-104,8.96625
CT-016,8.967499999999998
CT-087,8.969999999999997
CT-107,8.97125
CT-100,8.97875
CT-071,9.12
CT-121,9.942499999999999
CT-163,9.951249999999998
CT-156,9.95375
CT-053,9.954999999999998
CT-015,9.96375
CT-062,9.967499999999998
CT-158,9.9775
CT-049,10.3475
CT-090,10.4175
CT-065,10.793750000000001
CT-011,10.94375
CT-108,10.944999999999999
CT-137,10.94625
CT-143,10.9475
CT-144,10.95375
CT-150,11.093749999999998
CT-041,11.227500000000003
CT-164,11.297499999999998
CT-134,11.66375
CT-123,11.728750000000002
CT-175,11.90375
CT-023,11.921249999999997
CT-160,11.935
CT-136,11.935
CT-178,11.935
CT-106,11.94125
CT-117,11.942499999999999
CT-125,11.94375
CT-084,11.94875
CT-128,11.95
CT-167,11.951249999999998
CT-179,11.951249999999998
CT-127,11.956249999999999
CT-054,12.217500000000001
CT-024,12.24625
CT-176,12.36
CT-155,12.422500000000001
CT-075,12.5625
CT-047,12.58125
CT-115,12.66375
CT-126,12.677500000000002
CT-067,12.84875
CT-120,12.85375
CT-138,12.865
CT-154,12.898750000000001
CT-169,12.917499999999999
CT-059,12.9175
CT-172,12.91875
CT-177,12.925
CT-133,12.934999999999999
CT-131,12.938749999999999
CT-147,12.938749999999999
CT-159,12.94375
CT-142,12.94375
CT-101,12.955000000000002
CT-174,13.486250000000002
CT-102,13.665000000000001
CT-139,13.682500000000001
CT-056,13.718749999999996
CT-119,13.891250000000003
CT-165,13.9325
CT-140,13.938749999999999
CT-029,14.882500000000002
CT-073,14.913749999999999
CT-080,14.925
CT-083,15.2375
CT-069,15.482500000000002
CT-025,15.681250000000002
CT-099,15.913749999999999
CT-012,15.927499999999998
CT-096,16.384999999999998
CT-060,16.49875
CT-112,16.941250000000004
CT-151,17.9
CT-051,18.3825
CT-153,18.689999999999998
CT-111,18.88375
CT-109,18.89
CT-146,18.905
