,angle,distance,contrast,roi_condition,patient_id
0,0.0,1,2.4444444444444446,cancer,CT-009
1,0.0,2,6.523809523809523,cancer,CT-009
2,0.0,3,8.38888888888889,cancer,CT-009
3,0.0,4,7.755555555555557,cancer,CT-009
4,0.0,5,7.305555555555555,cancer,CT-009
5,0.7853981633974483,1,4.421875,cancer,CT-009
6,0.7853981633974483,2,4.421875,cancer,CT-009
7,0.7853981633974483,3,8.061224489795919,cancer,CT-009
8,0.7853981633974483,4,7.444444444444445,cancer,CT-009
9,0.7853981633974483,5,7.639999999999998,cancer,CT-009
10,1.5707963267948966,1,2.3055555555555554,cancer,CT-009
11,1.5707963267948966,2,5.34920634920635,cancer,CT-009
12,1.5707963267948966,3,7.333333333333333,cancer,CT-009
13,1.5707963267948966,4,8.200000000000003,cancer,CT-009
14,1.5707963267948966,5,6.472222222222223,cancer,CT-009
15,2.356194490192345,1,3.359375,cancer,CT-009
16,2.356194490192345,2,3.359375,cancer,CT-009
17,2.356194490192345,3,7.142857142857144,cancer,CT-009
18,2.356194490192345,4,8.888888888888888,cancer,CT-009
19,2.356194490192345,5,10.079999999999998,cancer,CT-009
0,0.0,1,1.2000000000000002,healthy,CT-009
1,0.0,2,2.8375000000000004,healthy,CT-009
2,0.0,3,4.242857142857143,healthy,CT-009
3,0.0,4,4.8,healthy,CT-009
4,0.0,5,5.38,healthy,CT-009
5,0.7853981633974483,1,3.6790123456790127,healthy,CT-009
6,0.7853981633974483,2,3.6790123456790127,healthy,CT-009
7,0.7853981633974483,3,8.453125,healthy,CT-009
8,0.7853981633974483,4,9.6734693877551,healthy,CT-009
9,0.7853981633974483,5,9.166666666666666,healthy,CT-009
10,1.5707963267948966,1,3.3555555555555556,healthy,CT-009
11,1.5707963267948966,2,6.5375000000000005,healthy,CT-009
12,1.5707963267948966,3,7.057142857142857,healthy,CT-009
13,1.5707963267948966,4,8.5,healthy,CT-009
14,1.5707963267948966,5,8.98,healthy,CT-009
15,2.356194490192345,1,3.271604938271605,healthy,CT-009
16,2.356194490192345,2,3.271604938271605,healthy,CT-009
17,2.356194490192345,3,4.1875,healthy,CT-009
18,2.356194490192345,4,4.26530612244898,healthy,CT-009
19,2.356194490192345,5,3.8888888888888884,healthy,CT-009
0,0.0,1,0.8999999999999999,healthy,CT-009
1,0.0,2,1.9625000000000001,healthy,CT-009
2,0.0,3,2.5428571428571427,healthy,CT-009
3,0.0,4,2.8333333333333335,healthy,CT-009
4,0.0,5,2.98,healthy,CT-009
5,0.7853981633974483,1,2.0987654320987654,healthy,CT-009
6,0.7853981633974483,2,2.0987654320987654,healthy,CT-009
7,0.7853981633974483,3,2.640625,healthy,CT-009
8,0.7853981633974483,4,3.7755102040816326,healthy,CT-009
9,0.7853981633974483,5,5.083333333333334,healthy,CT-009
10,1.5707963267948966,1,1.4444444444444444,healthy,CT-009
11,1.5707963267948966,2,2.225,healthy,CT-009
12,1.5707963267948966,3,2.5142857142857147,healthy,CT-009
13,1.5707963267948966,4,3.583333333333333,healthy,CT-009
14,1.5707963267948966,5,4.3,healthy,CT-009
15,2.356194490192345,1,1.2345679012345678,healthy,CT-009
16,2.356194490192345,2,1.2345679012345678,healthy,CT-009
17,2.356194490192345,3,1.921875,healthy,CT-009
18,2.356194490192345,4,2.1020408163265305,healthy,CT-009
19,2.356194490192345,5,1.9444444444444446,healthy,CT-009
0,0.0,1,0.7222222222222221,healthy,CT-009
1,0.0,2,1.375,healthy,CT-009
2,0.0,3,1.5857142857142856,healthy,CT-009
3,0.0,4,1.4999999999999998,healthy,CT-009
4,0.0,5,1.4000000000000001,healthy,CT-009
5,0.7853981633974483,1,1.5925925925925926,healthy,CT-009
6,0.7853981633974483,2,1.5925925925925926,healthy,CT-009
7,0.7853981633974483,3,1.9375,healthy,CT-009
8,0.7853981633974483,4,2.2448979591836737,healthy,CT-009
9,0.7853981633974483,5,1.8333333333333326,healthy,CT-009
10,1.5707963267948966,1,1.255555555555556,healthy,CT-009
11,1.5707963267948966,2,2.2624999999999993,healthy,CT-009
12,1.5707963267948966,3,2.114285714285714,healthy,CT-009
13,1.5707963267948966,4,1.9833333333333338,healthy,CT-009
14,1.5707963267948966,5,1.9999999999999996,healthy,CT-009
15,2.356194490192345,1,1.1851851851851851,healthy,CT-009
16,2.356194490192345,2,1.1851851851851851,healthy,CT-009
17,2.356194490192345,3,1.109375,healthy,CT-009
18,2.356194490192345,4,1.6530612244897958,healthy,CT-009
19,2.356194490192345,5,2.027777777777778,healthy,CT-009
0,0.0,1,0.6666666666666667,healthy,CT-009
1,0.0,2,1.35,healthy,CT-009
2,0.0,3,1.542857142857143,healthy,CT-009
3,0.0,4,1.6166666666666671,healthy,CT-009
4,0.0,5,1.74,healthy,CT-009
5,0.7853981633974483,1,2.098765432098766,healthy,CT-009
6,0.7853981633974483,2,2.098765432098766,healthy,CT-009
7,0.7853981633974483,3,2.640625,healthy,CT-009
